seed_layout,method,n,N_joint_success,median_endpoint_m,P90_endpoint_m,median_depth_m,P90_depth_m,median_phi_deg,P90_phi_deg
SHIFT_Y_P2,V5M80_SpaceMaximin,8,8,0.0175691692626311,0.0337349578128655,0.0310630243634262,0.0985643792232287,0.0223951638757117,0.0667994448493232
SHIFT_Y_P2,V5M80_SpaceMaximin,10,8,0.0144359617214036,0.0312933878093719,0.0368387883510669,0.103086495999032,0.0200879902574025,0.067416890032689
SHIFT_Y_P2,V5M80_SpaceMaximin,15,11,0.0134435347204161,0.0310659476153927,0.0258116219405733,0.0828816562848937,0.0169049126235166,0.0678584886581639
SHIFT_Y_P2,V5M80_SpaceMaximin,20,10,0.014588645709526,0.0291775977463389,0.0245448557486503,0.0780534212206602,0.0124619769888454,0.0645597858181191
SHIFT_Y_M2,V5M80_VoronoiAOptimalActive,6,10,0.0982028476646625,0.203786923038907,0.0300520608096925,0.5357595,0.0497841140611292,0.122371261456351
SHIFT_Y_M2,V5M80_VoronoiAOptimalActive,8,16,0.0235494403943359,0.0361995294585083,0.005420206899925,0.0109411305780918,0.0133818741035862,0.025360614891639
SHIFT_Y_M2,V5M80_VoronoiAOptimalActive,10,16,0.0231220217763893,0.0369991894866084,0.003156913648515,0.00494642181310356,0.00600761660670202,0.0182026977356183
SHIFT_Y_M2,V5M80_VoronoiAOptimalActive,15,16,0.0177880673061519,0.0354737128935036,0.00342967621348505,0.00533765106733953,0.00496572476620827,0.0167597217017672
SHIFT_Y_M2,V5M80_VoronoiAOptimalActive,20,16,0.0177527529960088,0.0362781356790393,0.0036060880811542,0.00534372811789363,0.00516123502413546,0.0165233735130314
SHIFT_Y_M2,V5M80_SpaceMaximin,6,10,0.0982028476646625,0.203786923038907,0.0300520608096925,0.5357595,0.0497841140611292,0.122371261456351
SHIFT_Y_M2,V5M80_SpaceMaximin,8,13,0.0117618017424029,0.0244981171237025,0.0214850236141111,0.067210928315298,0.0186169619150362,0.0480221664987646
SHIFT_Y_M2,V5M80_SpaceMaximin,10,13,0.00976065326524257,0.0228161476330155,0.0233639906069444,0.0572986705199067,0.019248705713693,0.0351859336529579
SHIFT_Y_M2,V5M80_SpaceMaximin,15,14,0.00816730436369722,0.0242536252009823,0.019858293889977,0.0559103416123259,0.0172983436139731,0.0333761453565593
SHIFT_Y_M2,V5M80_SpaceMaximin,20,15,0.00957851715070049,0.0272520706975007,0.0171016627276308,0.0415550967110744,0.0166930872327926,0.0348319022775492
JITTER_A,V5M80_VoronoiAOptimalActive,6,12,0.0635524024655364,0.142725901709779,0.0191679893780008,0.069529689051245,0.01808090439732,0.0977103325052726
JITTER_A,V5M80_VoronoiAOptimalActive,8,15,0.0274312916041808,0.0379529023666151,0.0049364118339893,0.0132266422009137,0.0130252823000774,0.0188602189930833
JITTER_A,V5M80_VoronoiAOptimalActive,10,16,0.020781974528815,0.0389439452116634,0.00334842255021478,0.00655458237672923,0.00852185135408235,0.0176855079780154
JITTER_A,V5M80_VoronoiAOptimalActive,15,16,0.0209179666522859,0.0337041615248775,0.00289620135313562,0.00450778384839478,0.00917487436307507,0.016732621011073
JITTER_A,V5M80_VoronoiAOptimalActive,20,16,0.0208258573004042,0.0344400038580401,0.00291701095369101,0.00465957318750554,0.00959911204017061,0.0169989195580591
JITTER_A,V5M80_SpaceMaximin,6,12,0.0635524024655364,0.142725901709779,0.0191679893780008,0.069529689051245,0.01808090439732,0.0977103325052726
JITTER_A,V5M80_SpaceMaximin,8,12,0.0178288985768912,0.0303183901508512,0.0225500941384468,0.057209287030244,0.0213498332110245,0.087432231295196
JITTER_A,V5M80_SpaceMaximin,10,12,0.0131938187966733,0.0265232758864156,0.0225245786746187,0.0578534634485506,0.0192018771507776,0.0832267555806823
JITTER_A,V5M80_SpaceMaximin,15,13,0.00940274368674962,0.0202963536120534,0.0247586407903435,0.0485175448972923,0.0159844685157395,0.0790273096264116
JITTER_A,V5M80_SpaceMaximin,20,12,0.0108118440683145,0.0232493439912235,0.0256730127566386,0.0520042951012714,0.014698184433854,0.0762252753811765
JITTER_B,V5M80_VoronoiAOptimalActive,6,10,0.0685212433533555,0.256070898335905,0.0302170963755869,0.107619759013869,0.0125526829439834,0.0541490549830463
JITTER_B,V5M80_VoronoiAOptimalActive,8,16,0.0219114028246334,0.0357285188052156,0.00423649910617713,0.0121979161294247,0.0109120713732675,0.031962140226839
JITTER_B,V5M80_VoronoiAOptimalActive,10,16,0.0232184041999525,0.0357434203433711,0.00333385058649543,0.00685554622829943,0.00543315487642282,0.0144203732726585
JITTER_B,V5M80_VoronoiAOptimalActive,15,16,0.0231963058221972,0.0332869865889849,0.00358714308510621,0.00476547676981848,0.00634951561917507,0.0103524500601964
JITTER_B,V5M80_VoronoiAOptimalActive,20,16,0.0231179430293742,0.0337282439489898,0.00359875245776825,0.00490490742722538,0.00602174252651366,0.0102704008887571
JITTER_B,V5M80_SpaceMaximin,6,10,0.0685212433533555,0.256070898335905,0.0302170963755869,0.107619759013869,0.0125526829439834,0.0541490549830463
JITTER_B,V5M80_SpaceMaximin,8,13,0.00906329034164245,0.0217540517022229,0.0241983030214897,0.0860101636133984,0.0186670661416315,0.0461953818775598
JITTER_B,V5M80_SpaceMaximin,10,13,0.00833523545852407,0.0198802804771063,0.0250272742918419,0.0882276538075626,0.0132497306604193,0.0541178086375709
JITTER_B,V5M80_SpaceMaximin,15,14,0.00894566512435968,0.0293884436286773,0.025051198065074,0.0480499819557586,0.010863777350484,0.050907807174184
JITTER_B,V5M80_SpaceMaximin,20,15,0.0149456535893549,0.0264045567862125,0.0232902364296942,0.0398383810122829,0.00933605489478848,0.0508652898206776
