run_order,case_id,L_m,phi_deg,d_m,rho_ohm_m,status,elapsed_s,V_min,V_max,V_rms,V_terminal,message
15,21,11.003717,19.692697,0.767089,975.294443,SKIPPED_VALID,NaN,2.94449966190566,70.8084288352023,10.6057016055597,118.203657336385,
16,22,17.252859,131.153101,0.814386,74.841714,SKIPPED_VALID,NaN,0.209846393842713,3.81775247960111,0.788031438720961,6.325603768765,
17,23,11.635609,260.998389,0.754598,151.509355,SKIPPED_VALID,NaN,0.45905736676413,9.6597847096996,1.63914176455786,17.6072564414286,
18,24,15.550772,127.624111,1.005576,108.338601,SKIPPED_VALID,NaN,0.309293248712916,5.70373562529398,1.13420737958444,9.74185751467609,
19,26,19.116683,64.437066,0.522902,271.087771,SKIPPED_VALID,NaN,0.752520269731763,15.0904408951738,2.89118460231675,22.0242475285945,
20,27,14.681239,27.75663,0.798779,1896.045222,SKIPPED_VALID,NaN,5.48460595826569,111.556411585606,20.2608566736349,182.48469724479,
21,28,25.428763,165.76137,1.296217,55.722454,SKIPPED_VALID,NaN,0.148204873628753,1.94799973908248,0.539323756815167,3.30324078580048,
22,29,15.719923,115.941654,0.785188,1230.16344,SKIPPED_VALID,NaN,3.52717133028445,70.2131784804724,13.0848341632431,112.347614339539,
23,30,12.831879,329.067921,1.072071,678.677847,SKIPPED_VALID,NaN,1.99632438114517,38.9129283819198,7.15871284946525,70.5533394191306,
24,31,12.355127,114.085904,1.499745,868.756651,SKIPPED_VALID,NaN,2.57831066011852,44.8574903229264,8.88473839990641,90.0675480394433,
25,33,21.030248,58.288619,0.694362,1041.267743,SKIPPED_VALID,NaN,2.82724267547709,50.2104471591305,10.8257448744238,76.2648388464969,
26,34,18.081884,203.269744,1.10728,1307.315743,SKIPPED_VALID,NaN,3.67153137646264,60.1384100174624,13.3887587259214,103.338034298754,
27,35,23.066089,252.258829,1.207188,992.930836,SKIPPED_VALID,NaN,2.68114538797795,38.0594811762275,9.81258725344182,64.0848842238009,
28,36,18.772919,335.762374,0.629891,1482.616097,SKIPPED_VALID,NaN,4.13607376315435,77.8851701256981,15.6800590769973,120.06645435866,
29,37,22.877576,189.167349,1.360139,357.330212,SKIPPED_VALID,NaN,0.979170025489533,13.2929200728341,3.49710619497114,22.9568161946627,
30,39,27.648455,155.952512,0.673903,303.144087,SKIPPED_VALID,NaN,0.781144969706799,12.0512723253545,3.02170755656332,17.8401901202211,
31,40,16.876364,180.020188,1.252611,308.93183,SKIPPED_VALID,NaN,0.905204678542586,14.4176181262941,3.15275504339534,25.4917831335885,
32,41,26.327372,100.350337,0.615825,284.01754,SKIPPED_VALID,NaN,0.755089419429493,11.9803955620178,2.86086006482167,17.5389112683106,
33,42,13.842101,179.291385,0.959049,93.905579,SKIPPED_VALID,NaN,0.282266466962361,5.46342884512009,0.995597763186895,9.29883068928975,
34,43,17.484881,86.864773,1.264063,1115.9753,SKIPPED_VALID,NaN,3.23608754242107,49.7326814236108,11.3261338319357,89.4557620033626,
35,44,9.178638,152.482288,0.849649,774.211873,SKIPPED_VALID,NaN,2.37056759088587,60.9336737871042,8.42826518714266,106.920620806796,
36,45,8.897824,286.482099,1.124427,51.12564,SKIPPED_VALID,NaN,0.158185475835595,3.52001196025517,0.542893047390092,7.0332629200353,
37,46,20.568083,236.327148,1.273072,317.141496,SKIPPED_VALID,NaN,0.863512343110695,12.833001625042,3.17028713426081,22.324452493751,
38,47,23.9455,264.075212,1.039136,90.934848,SKIPPED_VALID,NaN,0.248469946581645,3.49179637682826,0.903070367390022,5.77578135417049,
39,48,25.770656,41.102102,1.049045,1638.168068,SKIPPED_VALID,NaN,4.24396236676344,59.9069060765434,16.1439277577226,97.9747144376922,
40,49,16.347817,213.780934,0.650347,561.335765,SKIPPED_VALID,NaN,1.59231619705171,33.1913300082383,6.02194431565885,50.6157465980142,
41,50,19.301344,197.086316,0.605134,1244.41734,SKIPPED_VALID,NaN,3.48007617215983,65.8852975795573,13.132686623118,98.9357921719949,
42,51,29.02057,173.058982,0.914676,651.633741,SKIPPED_VALID,NaN,1.70599047801224,23.2481455243511,6.29011247349161,35.848592246032,
43,52,12.039005,271.804384,0.898604,166.467059,SKIPPED_VALID,NaN,0.507233891533083,10.7678580561885,1.78744719102134,18.5106406683001,
44,53,16.554655,145.465008,0.639344,428.273831,SKIPPED_VALID,NaN,1.21167775770586,25.0810543106986,4.59191727465261,38.2959483617434,
45,54,22.288241,242.834976,0.935998,812.951495,SKIPPED_VALID,NaN,2.18897003998359,34.6395821636179,8.23418010819282,55.2423701143063,
46,55,9.884765,93.183524,1.184295,477.785474,SKIPPED_VALID,NaN,1.48217354022537,31.0450435146864,5.03747947229938,60.284821459252,
47,56,24.569948,150.846001,0.588406,138.159632,SKIPPED_VALID,NaN,0.363872477579839,6.18353724594251,1.41619509357536,9.06270682561106,
48,57,25.275381,351.319709,1.304827,497.02443,SKIPPED_VALID,NaN,1.33652809581913,17.5214929746168,4.80871598527154,29.588651324646,
49,58,10.803895,292.934788,0.872361,71.82595,SKIPPED_VALID,NaN,0.216781115126535,4.96686723041695,0.775646514082427,8.7169891907688,
50,60,18.979547,38.65804,0.555523,245.371054,SKIPPED_VALID,NaN,0.677013695994727,13.5657042040205,2.6145661500835,19.9351693927966,
51,61,22.604304,106.994048,1.240798,122.380785,SKIPPED_VALID,NaN,0.332328946373686,4.6853646004693,1.21014946545223,8.00715234409378,
52,62,10.507507,316.84306,0.503031,905.449459,SKIPPED_VALID,NaN,2.72147670811373,77.0560527274837,10.2128359490813,118.74048667686,
53,63,16.67051,355.507746,1.229757,241.784067,SKIPPED_VALID,NaN,0.704596948338531,11.0833020151877,2.46937224568997,20.181513716814,
54,64,20.407288,13.32297,0.851171,929.17137,SKIPPED_VALID,NaN,2.58524924549212,43.2266563241892,9.56035761297441,68.3830589959511,
55,65,26.25863,245.320607,1.192396,742.640664,SKIPPED_VALID,NaN,1.93430321219737,25.8437838705497,7.21127352634598,43.2309205699111,
56,67,21.680709,300.837109,1.320485,1076.014632,SKIPPED_VALID,NaN,2.90568280956188,41.8098150979116,10.6554738429413,72.3695057123605,
57,68,11.879073,321.99155,0.779404,517.129388,SKIPPED_VALID,NaN,1.53355350633166,33.5571204177151,5.61432893685784,58.9400028959733,
58,70,20.876773,32.238025,0.801814,541.785081,SKIPPED_VALID,NaN,1.47280391663106,25.0423729020915,5.5909093383816,39.3744931374586,
59,71,14.45098,303.327397,1.211952,380.561631,SKIPPED_VALID,NaN,1.10033437656986,19.8168890598605,3.94177709125854,35.6081940048323,
